Galaxy,Name_UI,uband,gband,rband,iband,zband,equatorialCoord_UI,radialVelocity_UI,luminosity_UI,angularSize_UI,Camera
nullGalaxy18,nullName_UI;nullName_18,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4512/1/frame-u-004512-1-0199.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4512/1/frame-g-004512-1-0199.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4512/1/frame-r-004512-1-0199.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4512/1/frame-i-004512-1-0199.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4512/1/frame-z-004512-1-0199.fits.bz2,228.76620;27.94828,null_radial,null_luminosity,null_angular,Rotate
nullGalaxy19,nullName_UI;nullName_19,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4576/5/frame-u-004576-5-0697.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4576/5/frame-g-004576-5-0697.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4576/5/frame-r-004576-5-0697.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4576/5/frame-i-004576-5-0697.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4576/5/frame-z-004576-5-0697.fits.bz2,228.12007;27.63918,null_radial,null_luminosity,null_angular,Rotate
nullGalaxy20,nullName_UI;nullName_20,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4576/4/frame-u-004576-4-0698.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4576/4/frame-g-004576-4-0698.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4576/4/frame-r-004576-4-0698.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4576/4/frame-i-004576-4-0698.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4576/4/frame-z-004576-4-0698.fits.bz2,228.08987;27.19456,null_radial,null_luminosity,null_angular,Rotate
nullGalaxy21,nullName_UI;nullName_21,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4576/5/frame-u-004576-5-0698.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4576/5/frame-g-004576-5-0698.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4576/5/frame-r-004576-5-0698.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4576/5/frame-i-004576-5-0698.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4576/5/frame-z-004576-5-0698.fits.bz2,228.27545;27.58039,null_radial,null_luminosity,null_angular,Rotate
nullGalaxy22,nullName_UI;nullName_22,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4576/4/frame-u-004576-4-0699.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4576/4/frame-g-004576-4-0699.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4576/4/frame-r-004576-4-0699.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4576/4/frame-i-004576-4-0699.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4576/4/frame-z-004576-4-0699.fits.bz2,228.24464;27.13580,null_radial,null_luminosity,null_angular,Rotate
nullGalaxy23,nullName_UI;nullName_23,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4576/5/frame-u-004576-5-0699.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4576/5/frame-g-004576-5-0699.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4576/5/frame-r-004576-5-0699.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4576/5/frame-i-004576-5-0699.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4576/5/frame-z-004576-5-0699.fits.bz2,228.43066;27.52142,null_radial,null_luminosity,null_angular,Rotate
nullGalaxy24,nullName_UI;nullName_24,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4576/4/frame-u-004576-4-0700.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4576/4/frame-g-004576-4-0700.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4576/4/frame-r-004576-4-0700.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4576/4/frame-i-004576-4-0700.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4576/4/frame-z-004576-4-0700.fits.bz2,228.39925;27.07687,null_radial,null_luminosity,null_angular,Rotate
nullGalaxy25,nullName_UI;nullName_25,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4576/5/frame-u-004576-5-0700.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4576/5/frame-g-004576-5-0700.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4576/5/frame-r-004576-5-0700.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4576/5/frame-i-004576-5-0700.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4576/5/frame-z-004576-5-0700.fits.bz2,228.58570;27.46229,null_radial,null_luminosity,null_angular,Rotate
nullGalaxy26,nullName_UI;nullName_26,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4576/4/frame-u-004576-4-0701.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4576/4/frame-g-004576-4-0701.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4576/4/frame-r-004576-4-0701.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4576/4/frame-i-004576-4-0701.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4576/4/frame-z-004576-4-0701.fits.bz2,228.55370;27.01777,null_radial,null_luminosity,null_angular,Rotate
nullGalaxy27,nullName_UI;nullName_27,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4576/5/frame-u-004576-5-0701.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4576/5/frame-g-004576-5-0701.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4576/5/frame-r-004576-5-0701.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4576/5/frame-i-004576-5-0701.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4576/5/frame-z-004576-5-0701.fits.bz2,228.74058;27.40299,null_radial,null_luminosity,null_angular,Rotate
nullGalaxy28,nullName_UI;nullName_28,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4576/4/frame-u-004576-4-0702.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4576/4/frame-g-004576-4-0702.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4576/4/frame-r-004576-4-0702.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4576/4/frame-i-004576-4-0702.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4576/4/frame-z-004576-4-0702.fits.bz2,228.70799;26.95850,null_radial,null_luminosity,null_angular,Rotate
